[2015-11-16 20:59:45]**********初始化USB模块成功**********

[2015-11-16 20:59:56]**********初始化相机成功**********

[2015-11-16 20:59:56]**********工作模式为: 自动模式**********
[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:07]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:08]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:09]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:10]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:11]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:12]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:13]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:14]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:15]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:16]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:17]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:18]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:19]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:20]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:21]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:22]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:00:23]-----出 洞-----

